geo,sex,vintage,start_year,end_year,age_at_start,age_at_end,start_pop,end_pop,net_migration,net_pct_of_start
Staten Island,all,v2020,2015,2020,15-19,20-24,29612,28273,-1339,-4.5
Staten Island,all,v2025,2020,2025,15-19,20-24,32128,30074,-2054,-6.4
Staten Island,all,v2020,2010,2015,20-24,25-29,31458,31812,354,1.1
Staten Island,all,v2020,2011,2016,20-24,25-29,31727,32720,993,3.1
Staten Island,all,v2020,2012,2017,20-24,25-29,32591,33693,1102,3.4
Staten Island,all,v2020,2013,2018,20-24,25-29,32703,33896,1193,3.6
Staten Island,all,v2020,2014,2019,20-24,25-29,32540,33802,1262,3.9
Staten Island,all,v2020,2015,2020,20-24,25-29,31923,33066,1143,3.6
Staten Island,all,v2025,2020,2025,20-24,25-29,31828,33987,2159,6.8
Staten Island,all,v2020,2010,2015,25-29,30-34,29988,29547,-441,-1.5
Staten Island,all,v2020,2011,2016,25-29,30-34,30144,29457,-687,-2.3
Staten Island,all,v2020,2012,2017,25-29,30-34,30505,30037,-468,-1.5
Staten Island,all,v2020,2013,2018,25-29,30-34,30406,30472,66,0.2
Staten Island,all,v2020,2014,2019,25-29,30-34,30903,31078,175,0.6
Staten Island,all,v2020,2015,2020,25-29,30-34,31812,31702,-110,-0.3
Staten Island,all,v2025,2020,2025,25-29,30-34,31856,32180,324,1.0
Staten Island,female,v2020,2010,2015,15-19,20-24,16044,15927,-117,-0.7
Staten Island,female,v2020,2011,2016,15-19,20-24,15887,15275,-612,-3.9
Staten Island,female,v2020,2012,2017,15-19,20-24,15307,14798,-509,-3.3
Staten Island,female,v2020,2013,2018,15-19,20-24,14986,14490,-496,-3.3
Staten Island,female,v2020,2014,2019,15-19,20-24,14700,14157,-543,-3.7
Staten Island,female,v2020,2015,2020,15-19,20-24,14383,13933,-450,-3.1
Staten Island,female,v2025,2020,2025,15-19,20-24,15708,14782,-926,-5.9
Staten Island,female,v2020,2010,2015,20-24,25-29,15380,15685,305,2.0
Staten Island,female,v2020,2011,2016,20-24,25-29,15518,16103,585,3.8
Staten Island,female,v2020,2012,2017,20-24,25-29,16071,16610,539,3.4
Staten Island,female,v2020,2013,2018,20-24,25-29,16188,16804,616,3.8
Staten Island,female,v2020,2014,2019,20-24,25-29,16139,16788,649,4.0
Staten Island,female,v2020,2015,2020,20-24,25-29,15927,16316,389,2.4
Staten Island,female,v2025,2020,2025,20-24,25-29,15281,16511,1230,8.0
Staten Island,female,v2020,2010,2015,25-29,30-34,14738,14838,100,0.7
